item_id,feature,target,stimulus,state,spans,covered,todo,percent,excluded,max_nesting,cross,conditions,directive,detail,source,generate
TP0947,V,MOVETYPEV,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:431,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP0950,V,VXTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:495,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP0974,V,NXSTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:622,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP0980,V,NXTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:695,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP0989,V,VXSG,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:779,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP0992,V,MASKTYPEX,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:849,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP0994,V,MOVETYPEX,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:897,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP0997,V,VITYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:953,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1013,V,NISTYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:1053,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1019,V,NITYPE,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:1126,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1028,V,VISG,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:1209,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1031,V,MASKTYPEI,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:1279,opcode_sweep.py extensions/V/vext_arith_insts.sail
TP1033,V,MOVETYPEI,fault_path,partial,2,1,1,50.0,0,0,,,construct the faulting condition and assert the resulting trap,,extensions/V/vext_arith_insts.sail:1327,opcode_sweep.py extensions/V/vext_arith_insts.sail
