address,name,privilege_from_address,feature_group,read_write_behaviour,source
0xB05,mhpmcounter5,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:107
0xB06,mhpmcounter6,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:108
0xB07,mhpmcounter7,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:109
0xB08,mhpmcounter8,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:110
0xB09,mhpmcounter9,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:111
0xB0A,mhpmcounter10,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:112
0xB0B,mhpmcounter11,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:113
0xB0C,mhpmcounter12,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:114
0xB0D,mhpmcounter13,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:115
0xB0E,mhpmcounter14,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:116
0xB0F,mhpmcounter15,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:117
0xB10,mhpmcounter16,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:118
0xB11,mhpmcounter17,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:119
0xB12,mhpmcounter18,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:120
0xB13,mhpmcounter19,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:121
0xB14,mhpmcounter20,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:122
0xB15,mhpmcounter21,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:123
0xB16,mhpmcounter22,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:124
0xB17,mhpmcounter23,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:125
0xB18,mhpmcounter24,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:126
0xB19,mhpmcounter25,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:127
0xB1A,mhpmcounter26,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:128
0xB1B,mhpmcounter27,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:129
0xB1C,mhpmcounter28,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:130
0xB1D,mhpmcounter29,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:131
0xB1E,mhpmcounter30,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:132
0xB1F,mhpmcounter31,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:133
0xB80,mcycleh,Machine,Zicntr,Not directly derivable from Sail,extensions/Zicntr/zicntr_control.sail:36
0xB82,minstreth,Machine,Zicntr,Not directly derivable from Sail,extensions/Zicntr/zicntr_control.sail:37
0xB83,mhpmcounter3h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:135
0xB84,mhpmcounter4h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:136
0xB85,mhpmcounter5h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:137
0xB86,mhpmcounter6h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:138
0xB87,mhpmcounter7h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:139
0xB88,mhpmcounter8h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:140
0xB89,mhpmcounter9h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:141
0xB8A,mhpmcounter10h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:142
0xB8B,mhpmcounter11h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:143
0xB8C,mhpmcounter12h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:144
0xB8D,mhpmcounter13h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:145
0xB8E,mhpmcounter14h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:146
0xB8F,mhpmcounter15h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:147
0xB90,mhpmcounter16h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:148
0xB91,mhpmcounter17h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:149
0xB92,mhpmcounter18h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:150
0xB93,mhpmcounter19h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:151
0xB94,mhpmcounter20h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:152
0xB95,mhpmcounter21h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:153
0xB96,mhpmcounter22h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:154
0xB97,mhpmcounter23h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:155
0xB98,mhpmcounter24h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:156
0xB99,mhpmcounter25h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:157
0xB9A,mhpmcounter26h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:158
0xB9B,mhpmcounter27h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:159
0xB9C,mhpmcounter28h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:160
0xB9D,mhpmcounter29h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:161
0xB9E,mhpmcounter30h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:162
0xB9F,mhpmcounter31h,Machine,Zihpm,Not directly derivable from Sail,extensions/Zihpm/zihpm.sail:163
0xC00,cycle,User,Zicntr,Not directly derivable from Sail,extensions/Zicntr/zicntr_control.sail:11
